NO,COLLECTOR,DATE,DAY,WEEK,TIME_SLOT,LOCATION,TYPE,Cl2,PH,KH,GH,NO2,NO3
140,Rendy,2018-08-24,tue,DAY,2,braga,Air Sungai,20,10,20,28,25,250
141,Rendy,2018-08-25,wed,DAY,2,braga,Air Sungai,20,10,20,14,10,50
142,Rendy,2018-08-28,sat,END,2,braga,Air Sungai,20,10,15,7,10,100
143,Rendy,2018-08-29,sun,END,2,braga,Air Sungai,20,8,10,14,10,500
144,Rendy,2018-08-31,tue,DAY,2,braga,Air Sungai,20,8,20,28,25,50
145,Rendy,2018-09-01,wed,DAY,3,braga,Air Sungai,20,10,20,28,25,50
146,Rendy,2018-09-04,sat,END,3,braga,Air Sungai,20,10,20,28,25,500
147,Rendy,2018-09-05,sun,END,3,braga,Air Sungai,20,10,20,28,25,100
148,Rendy,2018-09-07,tue,DAY,3,braga,Air Sungai,20,10,20,28,25,250
149,Rendy,2018-09-08,wed,DAY,3,braga,Air Sungai,20,10,20,14,10,50
150,Rendy,2018-09-11,sat,END,3,braga,Air Sungai,20,10,15,7,10,100
151,Rendy,2018-09-12,sun,END,3,braga,Air Sungai,20,8,10,14,10,500
152,Rendy,2018-09-14,tue,DAY,3,braga,Air Sungai,20,8,20,28,25,50
153,Rendy,2018-09-15,wed,DAY,3,braga,Air Sungai,20,8,20,28,25,100
154,Rendy,2018-09-18,sat,END,3,braga,Air Sungai,20,10,10,14,10,50
155,Rendy,2018-09-19,sun,END,3,braga,Air Sungai,20,10,6,7,25,250
156,Rendy,2018-09-21,tue,DAY,3,braga,Air Sungai,20,10,20,28,25,250
157,Rendy,2018-09-22,wed,DAY,3,braga,Air Sungai,20,10,20,28,25,100
158,Rendy,2018-09-25,sat,END,3,braga,Air Sungai,20,10,6,7,25,250
159,Rendy,2018-09-26,sun,END,3,braga,Air Sungai,20,10,6,7,10,50
160,Rendy,2018-09-28,tue,DAY,3,braga,Air Sungai,20,10,20,28,25,250
161,Rendy,2018-09-29,wed,DAY,3,braga,Air Sungai,20,10,20,28,25,100
